order_id,product_id,quantity,unit_price,sales,discounts
34264,18,1,550,550,550
34264,5,1,1295,1295,0
34266,18,3,550,1650,1650
34266,3,3,895,2685,0
34268,18,1,550,550,550
34268,1,1,895,895,0
34270,18,1,550,550,550
34270,5,1,1295,1295,0
34271,18,1,550,550,550
34271,1,1,895,895,0
34273,10,1,255,255,0
34274,18,1,550,550,550
34274,1,1,895,895,0
34275,18,1,550,550,550
34275,1,1,895,895,0
34277,18,1,550,550,550
34277,3,1,895,895,0
34278,18,1,550,550,550
34278,1,1,895,895,0
34279,18,1,550,550,550
34279,1,1,895,895,0
34281,18,1,550,550,550
34281,1,1,895,895,0
34282,18,1,550,550,550
34282,3,1,895,895,0
34283,19,1,360,360,155.03
34283,6,1,1495,1495,0
34283,13,2,85,170,73.21
34283,16,1,155,155,110.87
34284,2,1,1095,1095,0
34285,19,1,360,360,155.03
34285,1,1,895,895,0
34285,13,2,85,170,73.21
34285,16,1,155,155,116.74
34286,18,1,550,550,550
34286,6,1,1495,1495,0
34287,18,1,550,550,550
34287,2,1,1095,1095,0
34288,18,1,550,550,550
34288,3,1,895,895,0
34289,18,1,550,550,550
34289,1,1,895,895,0
34290,19,1,360,360,155.03
34290,5,1,1295,1295,0
34290,13,2,85,170,73.21
34290,16,1,155,155,108.5
34291,14,2,65,130,0
34292,18,1,550,550,550
34292,1,1,895,895,0
34293,18,1,550,550,550
34293,1,1,895,895,0
34295,18,1,550,550,550
34295,3,1,895,895,0
34296,2,1,1095,1095,0
34299,18,1,550,550,550
34299,2,1,1095,1095,0
34300,13,1,85,85,0
34302,18,1,550,550,550
34302,1,1,895,895,0
34303,18,1,550,550,550
34303,1,1,895,895,0
34305,18,1,550,550,550
34305,18,1,550,550,550
34305,1,1,895,895,0
34305,1,1,895,895,0
34307,18,1,550,550,550
34307,6,1,1495,1495,0
34308,18,1,550,550,550
34308,1,1,895,895,0
34310,19,1,360,360,155.03
34310,5,1,1295,1295,0
34310,13,2,85,170,73.21
34310,16,1,155,155,116.74
34311,18,1,550,550,550
34311,5,1,1295,1295,0
34312,18,1,550,550,550
34312,1,1,895,895,0
34313,15,1,125,125,0
34314,18,1,550,550,550
34314,1,1,895,895,0
34315,19,1,360,360,155.03
34315,5,1,1295,1295,0
34315,13,2,85,170,73.21
34315,16,1,155,155,116.74
34316,18,1,550,550,550
34316,1,1,895,895,0
34317,10,1,255,255,51
34318,18,1,550,550,550
34318,1,1,895,895,0
34319,18,1,550,550,550
34319,1,1,895,895,0
34320,18,1,550,550,550
34320,1,1,895,895,0
34321,18,1,550,550,550
34321,1,1,895,895,0
34323,18,1,550,550,550
34323,1,1,895,895,0
34324,19,1,360,360,155.03
34324,1,1,895,895,0
34324,13,2,85,170,73.21
34324,16,1,155,155,110.87
34325,19,1,360,360,155.03
34325,13,2,85,170,73.21
34325,2,1,1095,1095,0
34325,16,1,155,155,116.74
34327,18,1,550,550,550
34327,2,1,1095,1095,0
34328,18,1,550,550,550
34328,1,1,895,895,0
34329,18,1,550,550,550
34329,2,1,1095,1095,0
34330,18,1,550,550,550
34330,2,1,1095,1095,0
34332,18,1,550,550,550
34332,5,1,1295,1295,0
34334,18,1,550,550,550
34334,5,1,1295,1295,0
34335,18,1,550,550,550
34335,15,2,125,250,0
34335,2,1,1095,1095,0
34336,18,1,550,550,550
34336,1,1,895,895,0
34337,14,2,65,130,0
34338,5,1,1295,1295,100
34339,18,1,550,550,550
34339,1,1,895,895,0
34340,5,1,1295,1295,0
34341,18,1,550,550,550
34341,1,1,895,895,0
34342,19,1,360,360,155.03
34342,6,1,1495,1495,0
34342,13,2,85,170,73.21
34342,16,1,155,155,110.87
34343,19,1,360,360,155.03
34343,3,1,895,895,0
34343,13,2,85,170,73.21
34343,16,1,155,155,116.74
34344,5,1,1295,1295,0
34345,5,1,1295,1295,0
34346,18,1,550,550,550
34346,6,1,1495,1495,0
34347,19,1,360,360,155.03
34347,1,1,895,895,0
34347,13,2,85,170,73.21
34347,16,1,155,155,116.74
34348,2,1,1095,1095,0
34350,18,1,550,550,550
34350,2,1,1095,1095,0
34351,4,1,1195,1295,0
34351,7,1,865,865,173
34352,12,1,145,145,0
34353,1,1,895,895,100
34354,18,1,550,550,550
34354,1,1,895,895,0
34355,19,1,360,360,155.03
34355,6,1,1495,1495,0
34355,13,2,85,170,73.21
34355,16,1,155,155,116.74
34357,16,1,155,155,0
34358,18,1,550,550,550
34358,1,1,895,895,0
34359,18,1,550,550,550
34359,2,1,1095,1095,0
34361,16,2,155,310,0
34364,3,1,895,895,0
34365,18,1,550,550,550
34365,1,1,895,895,0
34366,18,1,550,550,550
34366,1,1,895,895,0
34367,19,1,360,360,155.03
34367,1,1,895,895,0
34367,13,2,85,170,73.21
34367,16,1,155,155,116.74
34368,19,1,360,360,155.03
34368,4,1,1195,1295,0
34368,13,2,85,170,73.21
34368,16,1,155,155,116.74
34369,18,1,550,550,550
34369,1,1,895,895,0
34371,18,1,550,550,550
34371,5,1,1295,1295,0
34372,18,1,550,550,550
34372,1,1,895,895,0
34373,18,1,550,550,550
34373,2,1,1095,1095,0
34375,19,1,360,360,155.03
34375,6,1,1495,1495,0
34375,13,2,85,170,73.21
34375,16,1,155,155,116.74
34376,18,1,550,550,550
34376,1,1,895,895,0
34377,13,2,85,170,0
34378,18,1,550,550,550
34378,4,1,1195,1295,0
34378,7,1,865,865,173
34379,18,1,550,550,550
34379,1,1,895,895,0
34382,1,1,895,895,0
34383,16,1,155,155,46.5
34383,16,1,155,155,0
34384,18,1,550,550,550
34384,1,1,895,895,0
34385,19,1,360,360,155.03
34385,13,2,85,170,73.21
34385,2,1,1095,1095,0
34385,16,1,155,155,116.74
34386,18,1,550,550,550
34386,1,1,895,895,0
34387,18,1,550,550,550
34387,5,1,1295,1295,0
34388,18,1,550,550,550
34388,5,1,1295,1295,0
34388,7,1,865,865,173
34389,18,1,550,550,550
34389,5,1,1295,1295,0
34390,19,1,360,360,155.03
34390,5,1,1295,1295,0
34390,13,2,85,170,73.21
34390,16,1,155,155,110.87
34391,1,1,895,895,100
34392,18,1,550,550,550
34392,5,1,1295,1295,0
34393,1,1,895,895,100
34394,14,2,65,130,0
34394,13,2,85,170,0
34395,18,1,550,550,550
34395,1,1,895,895,0
34396,18,1,550,550,550
34396,1,1,895,895,0
34397,14,2,65,130,0
34398,18,1,550,550,550
34398,1,1,895,895,0
34399,18,1,550,550,550
34399,5,1,1295,1295,0
34400,18,1,550,550,550
34400,1,1,895,895,0
34401,19,1,360,360,155.03
34401,6,1,1495,1495,0
34401,13,2,85,170,73.21
34401,16,1,155,155,116.74
34402,18,1,550,550,550
34402,1,1,895,895,0
34403,10,1,255,255,0
34404,18,1,550,550,550
34404,1,1,895,895,0
34405,18,1,550,550,550
34405,1,1,895,895,0
34406,19,1,360,360,155.03
34406,5,1,1295,1295,0
34406,13,2,85,170,73.21
34406,16,1,155,155,116.74
34407,18,1,550,550,550
34407,1,1,895,895,0
34408,18,1,550,550,550
34408,1,1,895,895,0
34409,18,1,550,550,550
34409,2,1,1095,1095,0
34410,18,1,550,550,550
34410,1,1,895,895,0
