order_id,customer_id,order_date,total_amount
34264,714477,2025-09-01,1295
34266,553176,2025-09-01,2685
34268,711383,2025-09-01,895
34270,714497,2025-09-01,1295
34271,714451,2025-09-01,895
34273,368648,2025-09-01,255
34274,714284,2025-09-01,895
34275,12883,2025-09-01,895
34277,698392,2025-09-01,895
34278,175966,2025-09-01,895
34279,714489,2025-09-01,895
34281,714236,2025-09-01,895
34282,714294,2025-09-01,895
34283,714504,2025-09-01,1840.89
34284,714417,2025-09-01,1095
34285,714397,2025-09-01,1235.02
34286,713713,2025-09-01,1495
34287,714483,2025-09-01,1095
34288,701696,2025-09-01,895
34289,71066,2025-09-01,895
34290,714396,2025-09-01,1643.26
34291,714389,2025-09-01,130
34292,714298,2025-09-01,895
34293,714490,2025-09-01,895
34295,714519,2025-09-01,895
34296,714387,2025-09-01,1095
34299,714286,2025-09-01,1095
34300,711359,2025-09-01,85
34302,714292,2025-09-01,895
34303,714521,2025-09-01,895
34305,714444,2025-09-01,1790
34307,714382,2025-09-01,1495
34308,714256,2025-09-01,895
34310,714450,2025-09-01,1635.02
34311,714371,2025-09-01,1295
34312,714258,2025-09-01,895
34313,714238,2025-09-01,125
34314,714241,2025-09-01,895
34315,714462,2025-09-01,1635.02
34316,441480,2025-09-01,895
34317,714431,2025-09-01,204
34318,714509,2025-09-01,895
34319,714495,2025-09-01,895
34320,714355,2025-09-01,895
34321,714376,2025-09-01,895
34323,714479,2025-09-01,895
34324,714482,2025-09-01,1240.89
34325,714259,2025-09-01,1435.02
34327,714503,2025-09-01,1095
34328,714267,2025-09-01,895
34329,714416,2025-09-01,1095
34330,714488,2025-09-01,1095
34332,714293,2025-09-01,1295
34334,714263,2025-09-01,1295
34335,389262,2025-09-01,1345
34336,714415,2025-09-01,895
34337,714235,2025-09-01,130
34338,714401,2025-09-01,1294
34339,714386,2025-09-01,895
34340,302345,2025-09-01,1295
34341,714398,2025-09-01,895
34342,714245,2025-09-01,1840.89
34343,714506,2025-09-01,1235.02
34344,714549,2025-09-01,1295
34345,714520,2025-09-01,1295
34346,714283,2025-09-01,1495
34347,714313,2025-09-01,1235.02
34348,714476,2025-09-01,1095
34350,714525,2025-09-01,1095
34351,714529,2025-09-01,1887
34352,127974,2025-09-01,145
34353,714358,2025-09-01,795
34354,714427,2025-09-01,895
34355,714458,2025-09-01,1835.02
34357,714446,2025-09-01,155
34358,714332,2025-09-01,895
34359,714532,2025-09-01,1095
34361,589504,2025-09-01,310
34364,714336,2025-09-01,895
34365,714542,2025-09-01,895
34366,714487,2025-09-01,895
34367,714542,2025-09-01,1235.02
34368,714456,2025-09-01,1535.02
34369,714315,2025-09-01,895
34371,714461,2025-09-01,1295
34372,714522,2025-09-01,895
34373,714381,2025-09-01,1095
34375,714295,2025-09-01,1835.02
34376,76971,2025-09-01,895
34377,429107,2025-09-01,170
34378,714327,2025-09-01,1887
34379,714288,2025-09-01,895
34382,714176,2025-09-01,895
34383,103456,2025-09-01,263.5
34384,427471,2025-09-01,895
34385,714445,2025-09-01,1435.02
34386,106639,2025-09-01,895
34387,714533,2025-09-01,1295
34388,222098,2025-09-01,1987
34389,714322,2025-09-01,1295
34390,714391,2025-09-01,1640.89
34391,714432,2025-09-01,795
34392,714436,2025-09-01,1295
34393,714372,2025-09-01,795
34394,262987,2025-09-01,300
34395,714425,2025-09-01,895
34396,714403,2025-09-01,895
34397,629574,2025-09-01,130
34398,421077,2025-09-01,895
34399,602867,2025-09-01,1295
34400,538718,2025-09-01,895
34401,714328,2025-09-01,1835.02
34402,714331,2025-09-01,895
34403,532279,2025-09-01,255
34404,714362,2025-09-01,895
34405,714470,2025-09-01,895
34406,714536,2025-09-01,1635.02
34407,714472,2025-09-01,895
34408,619801,2025-09-01,895
34409,714492,2025-09-01,1095
34410,3354,2025-09-01,895
34411,714366,2025-09-01,795
34412,714277,2025-09-01,1295
34413,714275,2025-09-01,1240.89
34415,714541,2025-09-01,895
34416,714544,2025-09-01,895
34417,596162,2025-09-01,155
34418,334867,2025-09-01,253.5
34419,714405,2025-09-01,795
34420,714510,2025-09-01,1195
34421,35827,2025-09-01,895
34422,714534,2025-09-01,1295
34423,614657,2025-09-01,692
34424,714264,2025-09-01,895
34425,714515,2025-09-01,895
34426,102896,2025-09-01,1003.5
34427,714473,2025-09-01,1395
34428,714375,2025-09-01,1095
34429,714420,2025-09-01,895
34430,714373,2025-09-01,895
34431,714305,2025-09-01,895
